,,clusters,pID,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
0,0,0,0,2095256.6021343668,3876.0,3321.2920532226576,3647.6851806640652,4010.7210778130448,0.09402997679751837,MT8cls5sw
0,1,0,1,554.0880492294531,1.0,3707.52075195313,3707.52075195313,3707.52075195313,0.0,MT8cls5sw
0,2,0,2,288.44299153434764,1.0,3834.08776855469,3834.08776855469,3834.08776855469,0.0,MT8cls5sw
0,3,0,3,149.7355377754157,,,,,,MT8cls5sw
0,4,0,4,43693.82316951732,57.0,4417.53662109375,4500.31982421875,4674.87032645089,0.02830204442473091,MT8cls5sw
0,5,0,5,403.7823076354017,1.0,4674.8779296875,4674.8779296875,4674.8779296875,0.0,MT8cls5sw
0,6,0,6,213.75734410640536,,,,,,MT8cls5sw
0,7,0,7,138.4539272160768,1.0,4806.44033203125,4806.44033203125,4806.44033203125,0.0,MT8cls5sw
0,8,0,8,184164.1668950227,535.0,5227.380025227865,5499.9091796875,5854.8799176897355,0.05662201533748448,MT8cls5sw
0,9,0,9,254846.28192425333,686.0,3792.5956464494975,4059.56638590495,4342.908672626203,0.0676433819703544,MT8cls5sw
0,10,0,10,1004208.3663569097,2655.0,4337.0991396696645,4648.02512770433,4954.7941085815455,0.06647676123788174,MT8cls5sw
0,11,0,11,217.8282195360401,1.0,4399.89868164063,4399.89868164063,4399.89868164063,0.0,MT8cls5sw
0,12,0,12,307.5634668420562,2.0,4583.523756760817,4694.073768028845,4804.623779296872,0.023550974426729147,MT8cls5sw
0,13,0,13,11990.323528116045,35.0,4182.66032409668,4464.04535590278,4860.146798270091,0.07491992973041457,MT8cls5sw
0,14,0,14,487.2198641365287,2.0,4543.3988865443625,4725.136233375185,4906.873580206007,0.03846182159725935,MT8cls5sw
0,15,0,15,58160.96564980033,224.0,3517.7384033203125,3994.24829101563,4384.779296875,0.10971704543392018,MT8cls5sw
0,16,0,16,96.03485985893349,1.0,5041.03955078125,5041.03955078125,5041.03955078125,0.0,MT8cls5sw
0,17,0,17,93431.47029766536,337.0,3082.95779854911,3377.97412109375,3645.53149414063,0.08361069938875222,MT8cls5sw
0,18,0,18,604445.8437606881,950.0,4269.933349609375,4571.61624581473,4857.76086650325,0.06440043925400298,MT8cls5sw
0,19,0,19,164.97096662520926,1.0,4069.69864908854,4069.69864908854,4069.69864908854,0.0,MT8cls5sw
0,20,0,20,3711454.342529278,7434.0,2699.1184895833326,3199.1813151041697,3647.8262604812103,0.1494747170893886,MT8cls5sw
0,21,0,21,6124.030655707021,17.0,3390.31896972656,3733.41943359375,3963.32885742188,0.077921856086154,MT8cls5sw
0,22,0,22,1719.2311001118128,2.0,3563.4378684303947,3590.90587713068,3618.3738858309653,0.007649325724525435,MT8cls5sw
0,23,0,23,214.29149126531777,1.0,4342.47689541903,4342.47689541903,4342.47689541903,0.0,MT8cls5sw
0,24,0,24,325.0546634900636,1.0,4539.8032801011,4539.8032801011,4539.8032801011,0.0,MT8cls5sw
0,25,0,25,1671.2228159208469,17.0,3723.23168945312,3761.05639648438,3782.36450195313,0.007878496390162294,MT8cls5sw
0,26,0,26,1633.0571639101709,1.0,3314.64924316406,3314.64924316406,3314.64924316406,0.0,MT8cls5sw
0,27,0,27,620.6970147985362,3.0,3562.802871704105,3838.26809692383,4337.762466430665,0.09808913179743647,MT8cls5sw
0,28,0,28,150.22802883354325,1.0,4377.73291015625,4377.73291015625,4377.73291015625,0.0,MT8cls5sw
0,29,0,29,273.58339467990606,1.0,5023.21240234375,5023.21240234375,5023.21240234375,0.0,MT8cls5sw
0,30,0,30,407.75576271239845,2.0,3239.7544062687803,3250.60235908704,3261.4503119052997,0.0033372131131125093,MT8cls5sw
0,31,0,31,9598.553118798256,30.0,5308.332478841145,5544.040832519535,5807.079751864347,0.04486988540518994,MT8cls5sw
0,32,0,32,206.5695008473361,1.0,5544.86865234375,5544.86865234375,5544.86865234375,0.0,MT8cls5sw
0,33,0,33,108.00571956506853,1.0,5988.20835658482,5988.20835658482,5988.20835658482,0.0,MT8cls5sw
0,34,0,34,31.14491798863077,,,,,,MT8cls5sw
0,35,0,35,2591.038428493715,8.0,4773.76340230306,4849.093658447266,5231.912034254805,0.045788876009089985,MT8cls5sw
0,36,0,36,13235.628905011663,15.0,4763.83949279785,4966.91891659007,5381.78542480469,0.06090762639319645,MT8cls5sw
0,37,0,37,5204.889132346878,,,,,,MT8cls5sw
0,38,0,38,109.35325902828913,1.0,4804.07666015625,4804.07666015625,4804.07666015625,0.0,MT8cls5sw
0,39,0,39,181.16102772492914,1.0,3807.09741210938,3807.09741210938,3807.09741210938,0.0,MT8cls5sw
0,40,0,40,1684.2674917096804,1.0,3796.43124389648,3796.43124389648,3796.43124389648,0.0,MT8cls5sw
0,41,0,41,581.9237404229689,2.0,3481.4694824218777,3571.813313802085,3662.1571451822924,0.025293547966547876,MT8cls5sw
0,42,0,42,17212.3200712261,44.0,3071.86444091797,3398.082946777345,3727.1168314615925,0.09637508389757513,MT8cls5sw
0,43,0,43,42544.53227873461,119.0,3122.0452880859402,3449.13149789664,3660.78125,0.0794264690227633,MT8cls5sw
0,44,0,44,237.39350216081755,1.0,4468.93470348011,4468.93470348011,4468.93470348011,0.0,MT8cls5sw
0,45,0,45,54.315145125567284,,,,,,MT8cls5sw
0,46,0,46,74.37464181750772,1.0,3035.1142578125,3035.1142578125,3035.1142578125,0.0,MT8cls5sw
0,47,0,47,32055.174055869327,85.0,2713.36962890625,3035.81388346354,3308.29150390625,0.09879697011813308,MT8cls5sw
0,48,0,48,310.12168116450255,1.0,2445.73059570313,2445.73059570313,2445.73059570313,0.0,MT8cls5sw
0,49,0,49,47566.808266091066,149.0,2288.93920898438,2433.98999023438,2570.79516601563,0.05799822280024295,MT8cls5sw
0,50,0,50,21904.572643844607,79.0,2277.566833496095,2419.73583984375,2562.7447509765652,0.05891726441646825,MT8cls5sw
0,51,0,51,126.14645365885755,2.0,2638.717956542968,2649.720662434895,2660.7233683268223,0.004152402193903931,MT8cls5sw
0,52,0,52,96.71260848456897,1.0,2273.58715820313,2273.58715820313,2273.58715820313,0.0,MT8cls5sw
0,53,0,53,717.7114109031028,3.0,2456.823192641315,2466.01520996094,2548.6928534613753,0.018353684210360346,MT8cls5sw
0,54,0,54,172.84858466768313,,,,,,MT8cls5sw
0,55,0,55,336.0722189663704,2.0,2495.3559936523475,2558.4179931640647,2621.4799926757823,0.024648825829170686,MT8cls5sw
0,56,0,56,719.4422600716707,6.0,2761.77534484863,3020.209228515625,3223.66748046875,0.0771692503128418,MT8cls5sw
0,57,0,57,1452.167859445552,3.0,2233.810889956825,2267.64653577303,2333.47511617466,0.021821323666623385,MT8cls5sw
0,58,0,58,18137.072662926163,42.0,2944.0249328613277,3144.97645263672,3398.5753173828175,0.07166625147217702,MT8cls5sw
0,59,0,59,251851.83560387933,654.0,2928.78877766927,3240.821728515625,3498.119646344865,0.08858549571801753,MT8cls5sw
0,60,0,60,177.80411823276373,2.0,3383.035842895505,3477.03366088867,3571.031478881835,0.027033910844895516,MT8cls5sw
0,61,0,61,636124.4037698733,877.0,4061.5917746804,4403.47362304688,4742.4755859375,0.0773374150114764,MT8cls5sw
0,62,0,62,54.16715218176084,,,,,,MT8cls5sw
0,63,0,63,79517.3348553374,124.0,2284.7368425641725,2522.5985107421902,2675.02526855469,0.07869095679318235,MT8cls5sw
0,64,0,64,215.5879570636294,1.0,3630.38349609375,3630.38349609375,3630.38349609375,0.0,MT8cls5sw
0,65,0,65,367.70292160344326,1.0,2906.27603426847,2906.27603426847,2906.27603426847,0.0,MT8cls5sw
0,66,0,66,1645.0835883329896,4.0,2919.301498413085,3120.34614635649,3493.4692295619398,0.0895350474084641,MT8cls5sw
0,67,0,67,1319.9180726439472,1.0,3361.89629448785,3361.89629448785,3361.89629448785,0.0,MT8cls5sw
0,68,0,68,321.5783296232535,1.0,3427.90283203125,3427.90283203125,3427.90283203125,0.0,MT8cls5sw
0,69,0,69,172.62248723653448,1.0,2331.1025390625,2331.1025390625,2331.1025390625,0.0,MT8cls5sw
0,70,0,70,2467.3200984847203,10.0,2306.2440795898474,2594.0389404296902,3031.02699574253,0.135796534581588,MT8cls5sw
