,clusters,area,n,Price Q1,Price Q2,Price Q3,QCoD,segmentation
0,0,9642080.05562288,19961.0,3072.80712890625,3642.7666015625,4268.72326660156,0.17111754803467252,MT8cls5sw
1,1,22743000.13645713,8732.0,2711.34153747559,3454.384692382815,4088.2147216796925,0.228922892659882,MT8cls5sw
2,2,1753973.7142490083,3199.0,2631.64668026649,3357.75732421875,4516.9033203125,0.1688984098155065,MT8cls5sw
3,3,3396389.92024231,5891.0,3565.23728288923,4220.60424804688,4851.99563907772,0.18051421220908756,MT8cls5sw
4,4,10350350.625476597,13145.0,3986.18057250977,4672.5859375,5205.94853515625,0.2702921493858733,MT8cls5sw
5,5,18223808.089675523,9416.0,3051.41873105367,3900.940118577745,4832.237600821039,0.25697670046807075,MT8cls5sw
6,6,1349072.7689644108,,,,,0.23030880722168492,MT8cls5sw
7,7,33486629.55660374,1451.0,2537.95239257813,3222.64599609375,4701.07516084559,0.09764960849788742,MT8cls5sw
0,0,5641440.180827157,10864.0,3296.35945638021,3998.99578857422,4657.384644642448,0.17111754803467252,ET8cls5sw
1,1,21873959.246440865,5285.0,2676.21411132813,3634.80126953125,4265.28132629395,0.228922892659882,ET8cls5sw
2,2,7154389.890753738,17695.0,3002.21899414062,3603.7636274858,4222.454931640625,0.1688984098155065,ET8cls5sw
3,3,2068003.3303071097,5.0,1694.11535644531,2288.57104492188,2440.46606445312,0.18051421220908756,ET8cls5sw
4,4,22630174.311072115,474.0,2890.2575642903603,4068.028469848635,5031.426605224608,0.2702921493858733,ET8cls5sw
5,5,16594480.660445489,5881.0,2891.05126953125,3700.06905110677,4890.80771484375,0.25697670046807075,ET8cls5sw
6,6,10775466.430729538,11982.0,2825.73179287381,3598.263908617425,4516.776006062825,0.23030880722168492,ET8cls5sw
7,7,8605031.881778192,9602.0,4386.80516258446,4886.279520089285,5336.258525085453,0.09764960849788742,ET8cls5sw
0,0,5549461.565689444,10516.0,3345.0200576782227,4059.837521972655,4704.486136300223,0.17111754803467252,block_from_ET8cls5sw
1,1,24512152.514541656,5422.0,2691.213195800785,3622.1145629882803,4271.7525634765625,0.228922892659882,block_from_ET8cls5sw
2,2,7277098.606723141,17434.0,2963.5567016601576,3583.3756103515652,4190.916802039512,0.1688984098155065,block_from_ET8cls5sw
3,4,23005935.62707249,523.0,3537.7921142578152,4161.20011918263,4938.26513671875,0.2702921493858733,block_from_ET8cls5sw
4,5,16203293.888932047,5786.0,2836.306376987035,3688.1279225068947,4840.977050781248,0.25697670046807075,block_from_ET8cls5sw
5,6,10656485.945103187,11802.0,2859.755726207385,3528.1303100585947,4429.873195103238,0.23030880722168492,block_from_ET8cls5sw
0,0,5760125.068649809,10600.0,3300.1042404174777,4009.141452365455,4688.430190841875,0.17111754803467252,H3_from_ET8cls5sw
1,1,24700756.439869728,5763.0,2658.0543212890598,3581.49243164063,4221.96923828125,0.228922892659882,H3_from_ET8cls5sw
2,2,7483933.420664105,16876.0,2976.6638689313627,3601.554931640625,4208.048142653245,0.1688984098155065,H3_from_ET8cls5sw
3,3,2588892.488676387,7.0,1573.4445190429701,1694.11535644531,2364.5185546875,0.18051421220908756,H3_from_ET8cls5sw
